Attractor #,Attractor Type,Associated Cell Fate,Basin Size,apcarm,arm,armdecad,cdc,dad,der,dlg,dome,fz,hid,jak,mad,mir,nicd,notch,pros,punt,ral,robo,rolled,snail,socse,state,sty,suh,tcflef,egfs,wg,upds,dpp,delta,slit,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,6.666667e-01,5.000000e-01,1,5.000000e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,6.666667e-01,5.000000e-01,1,5.000000e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,0,1,1,0,0,
3,Cyclic,EE Fate + Upd Production + Extrusion,0.0393,1,0,0,1,5.000000e-01,1,5.000000e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,0,1,1,0,0,
4,Cyclic,EE Fate + Upd Production + Extrusion,0.0376,1,0,0,1,5.000000e-01,1,5.000000e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,0,1,1,0,0,
5,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0362,5.000000e-01,5.000000e-01,5.000000e-01,8.333333e-01,5.000000e-01,1,3.333333e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,6.666667e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,6.666667e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,5.000000e-01,1,0,1,1,0,0,
6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0361,5.000000e-01,5.000000e-01,5.000000e-01,8.333333e-01,5.000000e-01,1,3.333333e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,6.666667e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,6.666667e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,5.000000e-01,1,0,1,1,0,0,
7,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0269,5.000000e-01,5.000000e-01,5.000000e-01,8.333333e-01,5.000000e-01,1,3.333333e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,6.666667e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,6.666667e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,5.000000e-01,1,0,1,1,0,0,
8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0252,5.000000e-01,5.000000e-01,5.000000e-01,8.333333e-01,5.000000e-01,1,3.333333e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,6.666667e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,6.666667e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,5.000000e-01,1,0,1,1,0,0,
9,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0238,7.500000e-01,2.500000e-01,2.500000e-01,1,5.000000e-01,1,5.000000e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,2.500000e-01,1,0,1,1,0,0,
10,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0226,5.000000e-01,5.000000e-01,5.000000e-01,1,5.000000e-01,1,5.000000e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,5.000000e-01,1,0,1,1,0,0,
11,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0217,7.500000e-01,2.500000e-01,2.500000e-01,1,5.000000e-01,1,5.000000e-01,1,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,0,1,1,5.000000e-01,0,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,0,2.500000e-01,1,0,1,1,0,0,
