Attractor #,Attractor Type,Associated Cell Fate,Basin Size,apcarm,arm,armdecad,cdc,dad,der,dlg,dome,fz,hid,jak,mad,mir,nicd,notch,pros,punt,ral,robo,rolled,snail,socse,state,sty,suh,tcflef,egfs,wg,upds,dpp,delta,slit,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,2,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,2,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,0,1,0,1,1,0,0,
3,Cyclic,EE Fate + Upd Production + Extrusion,0.0393,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,0,1,0,1,1,0,0,
4,Cyclic,EE Fate + Upd Production + Extrusion,0.0376,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,0,1,0,1,1,0,0,
5,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0362,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
6,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0361,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
7,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0269,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
8,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0252,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
9,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0238,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
10,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0226,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
11,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0217,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
12,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0217,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
13,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0204,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
14,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.02,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
15,Cyclic,EE Fate + Upd Production + Normal Proliferation + Extrusion,0.0193,2,2,2,1,2,1,2,1,0,2,2,2,2,0,0,1,1,2,0,2,2,2,2,2,0,2,1,0,1,1,0,0,
16,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0182,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
17,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0179,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
18,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0179,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
19,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0162,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
20,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0138,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
21,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0124,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
22,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.01,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
23,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0066,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
24,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0054,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
25,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0054,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
26,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0049,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
27,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.003,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
28,Cyclic,EE Fate + Upd Production + Normal Proliferation + Loss of Polarity + Extrusion,0.0029,2,2,2,1,2,1,0,1,0,2,2,2,1,0,0,1,1,2,0,2,1,2,2,2,0,2,1,0,1,1,0,0,
