Attractor #,Attractor Type,Associated Cell Fate,Basin Size,apcarm,arm,armdecad,cdc,dad,der,dlg,dome,fz,hid,jak,mad,mir,nicd,notch,pros,punt,ral,robo,rolled,snail,socse,state,sty,suh,tcflef,egfs,wg,upds,dpp,delta,slit,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,
1,Cyclic,EE Fate + Upd Production,0.2618,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,

2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,
2,Cyclic,EE Fate + Upd Production,0.2483,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
