Cell fate,Propensity,
Autophagy VeryLow + Apoptosis + Caspase Independent Cell Death, 0.4227 
Quiescent + Autophagy Low + Mitophagy(L), 0.2175 
Cell Proliferation (H) + Autophagy Low + Mitophagy(L), 0.1767 
Cell Proliferation + Autophagy Low + Mitophagy(L), 0.0936 
Autophagy VeryLow + Necrosis, 0.0474 
Autophagy VeryLow + Apoptosis, 0.0151 
Autophagy Low + Apoptosis + E.Apoptosis, 0.0145 
Autophagy Low + Apoptosis + Mitophagy(L), 0.0065 
Autophagy Low + Mitophagy(L), 0.0052 
Cell Proliferation (H) + Autophagy VeryLow, 0.0005 
Autophagy High + Mitophagy(H), 0.0003 
